Date,Time,Police Station,City,State,Crime Type,Fir Number
2023-07-28,17:13:20,Sector 18 Police Station,Ahmedabad,Gujarat,Murder,FIR000080
2021-05-17,11:11:17,Cantonment Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000081
2024-05-15,05:42:27,Nungambakkam Police Station,Mumbai,Maharashtra,Kidnapping,FIR000082
2021-05-07,04:08:13,Connaught Place Police Station,Hyderabad,Telangana,Assault,FIR000083
2022-03-09,00:20:35,Nungambakkam Police Station,Patna,Bihar,Fraud,FIR000084
2024-08-22,18:55:14,MG Road Police Station,Patna,Bihar,Fraud,FIR000085
2021-05-31,19:09:51,Bandra Police Station,New Delhi,Delhi,Theft,FIR000086
2022-03-01,23:54:46,Cantonment Police Station,Jaipur,Rajasthan,Assault,FIR000087
2023-03-15,13:28:14,MG Road Police Station,Hyderabad,Telangana,Fraud,FIR000088
2023-08-21,17:28:35,Park Street Police Station,Chennai,Tamil Nadu,Kidnapping,FIR000089
2023-03-20,00:33:07,Lajpat Nagar Police Station,Mumbai,Maharashtra,Murder,FIR000090
2023-12-26,18:15:08,MG Road Police Station,Chennai,Tamil Nadu,Murder,FIR000091
2024-07-08,06:13:51,Bandra Police Station,New Delhi,Delhi,Cyber Crime,FIR000092
2021-04-28,08:52:27,Park Street Police Station,New Delhi,Delhi,Fraud,FIR000093
2020-11-05,08:46:49,Lajpat Nagar Police Station,Patna,Bihar,Theft,FIR000094
2024-04-17,01:06:27,Nungambakkam Police Station,Kolkata,West Bengal,Cyber Crime,FIR000095
2021-04-01,00:49:31,Sector 18 Police Station,Patna,Bihar,Kidnapping,FIR000096
2023-04-17,15:00:43,Bandra Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000097
2023-08-09,07:26:33,Sector 18 Police Station,Patna,Bihar,Kidnapping,FIR000098
2022-06-09,20:27:37,MG Road Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000099
2022-07-28,04:56:38,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000100
2023-04-19,01:50:58,Cantonment Police Station,Mumbai,Maharashtra,Assault,FIR000101
2022-10-30,02:30:30,MG Road Police Station,Jaipur,Rajasthan,Assault,FIR000102
2021-05-27,07:54:14,Nungambakkam Police Station,Bengaluru,Karnataka,Robbery,FIR000103
2022-01-26,16:11:38,Cantonment Police Station,Ahmedabad,Gujarat,Murder,FIR000104
2020-12-03,14:54:27,Nungambakkam Police Station,Chennai,Tamil Nadu,Robbery,FIR000105
2022-04-26,14:27:16,Cantonment Police Station,Mumbai,Maharashtra,Kidnapping,FIR000106
2021-03-04,07:33:40,Connaught Place Police Station,Hyderabad,Telangana,Robbery,FIR000107
2023-01-05,01:10:25,Nungambakkam Police Station,Chennai,Tamil Nadu,Murder,FIR000108
2022-05-31,14:40:40,Park Street Police Station,Jaipur,Rajasthan,Kidnapping,FIR000109
2021-11-13,12:01:33,Bandra Police Station,Hyderabad,Telangana,Fraud,FIR000110
2022-11-19,14:26:11,Lajpat Nagar Police Station,Hyderabad,Telangana,Theft,FIR000111
2023-02-13,20:08:43,Nungambakkam Police Station,Hyderabad,Telangana,Theft,FIR000112
2024-01-30,05:13:51,Cantonment Police Station,Jaipur,Rajasthan,Theft,FIR000113
2022-03-10,12:32:28,Park Street Police Station,Kolkata,West Bengal,Theft,FIR000114
2021-10-24,02:48:37,Sector 18 Police Station,Ahmedabad,Gujarat,Murder,FIR000115
2024-02-26,00:10:33,Sector 18 Police Station,Lucknow,Uttar Pradesh,Assault,FIR000116
2022-01-19,23:58:05,Connaught Place Police Station,Hyderabad,Telangana,Cyber Crime,FIR000117
2021-04-01,17:17:24,Nungambakkam Police Station,Bengaluru,Karnataka,Fraud,FIR000118
2024-03-08,17:00:27,MG Road Police Station,New Delhi,Delhi,Kidnapping,FIR000119
2022-05-04,14:21:23,Park Street Police Station,Bengaluru,Karnataka,Robbery,FIR000120
2022-05-17,20:37:14,Sector 18 Police Station,Hyderabad,Telangana,Robbery,FIR000121
2021-02-18,01:05:13,Bandra Police Station,Hyderabad,Telangana,Theft,FIR000122
2021-08-19,22:53:17,Lajpat Nagar Police Station,Patna,Bihar,Cyber Crime,FIR000123
2022-10-23,20:54:22,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Assault,FIR000124
2023-03-01,07:31:04,Cantonment Police Station,Ahmedabad,Gujarat,Theft,FIR000125
2023-01-29,18:44:27,MG Road Police Station,Patna,Bihar,Robbery,FIR000126
2024-06-09,10:47:42,Lajpat Nagar Police Station,Bengaluru,Karnataka,Assault,FIR000127
2021-08-01,21:41:28,Cantonment Police Station,Chennai,Tamil Nadu,Fraud,FIR000128
2024-08-04,05:32:15,Nungambakkam Police Station,Bengaluru,Karnataka,Theft,FIR000129
2023-10-25,09:14:06,Park Street Police Station,Lucknow,Uttar Pradesh,Murder,FIR000130
2022-01-14,19:25:24,MG Road Police Station,Bengaluru,Karnataka,Murder,FIR000131
2021-05-25,01:08:07,Bandra Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000132
2022-01-09,07:32:58,Bandra Police Station,Hyderabad,Telangana,Kidnapping,FIR000133
2020-09-20,17:07:53,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR000134
2022-06-22,12:32:42,Sector 18 Police Station,Bengaluru,Karnataka,Cyber Crime,FIR000135
2021-08-25,08:57:21,Connaught Place Police Station,New Delhi,Delhi,Theft,FIR000136
2021-02-08,19:24:13,Nungambakkam Police Station,Mumbai,Maharashtra,Fraud,FIR000137
2022-12-24,14:00:50,Cantonment Police Station,Jaipur,Rajasthan,Robbery,FIR000138
2022-03-01,06:44:11,Nungambakkam Police Station,Kolkata,West Bengal,Kidnapping,FIR000139
2024-01-19,12:30:08,Bandra Police Station,Hyderabad,Telangana,Robbery,FIR000140
2022-08-30,12:17:01,Sector 18 Police Station,Ahmedabad,Gujarat,Theft,FIR000141
2024-04-25,02:46:14,Nungambakkam Police Station,Patna,Bihar,Theft,FIR000142
2022-03-14,16:53:46,Nungambakkam Police Station,New Delhi,Delhi,Cyber Crime,FIR000143
2022-04-18,06:04:40,Park Street Police Station,Bengaluru,Karnataka,Theft,FIR000144
2022-12-25,20:19:42,Bandra Police Station,New Delhi,Delhi,Kidnapping,FIR000145
2023-02-20,09:50:02,Nungambakkam Police Station,New Delhi,Delhi,Assault,FIR000146
2024-08-19,19:32:26,Bandra Police Station,Patna,Bihar,Fraud,FIR000147
2020-11-06,15:59:19,Cantonment Police Station,Bengaluru,Karnataka,Murder,FIR000148
2023-01-13,11:06:42,Nungambakkam Police Station,New Delhi,Delhi,Cyber Crime,FIR000149
2021-02-20,19:50:23,Bandra Police Station,Patna,Bihar,Murder,FIR000150
2024-03-01,02:36:43,Connaught Place Police Station,Kolkata,West Bengal,Kidnapping,FIR000151
2021-07-09,22:10:12,MG Road Police Station,Mumbai,Maharashtra,Fraud,FIR000152
2023-10-07,02:14:03,Park Street Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000153
2020-11-17,02:39:03,Sector 18 Police Station,Bengaluru,Karnataka,Fraud,FIR000154
2022-08-04,01:01:05,Bandra Police Station,New Delhi,Delhi,Kidnapping,FIR000155
2022-02-12,18:54:44,Connaught Place Police Station,Kolkata,West Bengal,Theft,FIR000156
2021-05-29,06:46:59,Lajpat Nagar Police Station,Jaipur,Rajasthan,Kidnapping,FIR000157
2021-11-10,20:29:49,Sector 18 Police Station,Hyderabad,Telangana,Murder,FIR000158
2024-07-06,15:10:19,Cantonment Police Station,Lucknow,Uttar Pradesh,Theft,FIR000159
2024-07-26,02:01:24,Lajpat Nagar Police Station,Jaipur,Rajasthan,Kidnapping,FIR000160
2020-11-08,20:19:42,Cantonment Police Station,Bengaluru,Karnataka,Theft,FIR000161
2024-04-02,08:42:44,MG Road Police Station,Hyderabad,Telangana,Theft,FIR000162
2021-07-29,17:53:44,Bandra Police Station,New Delhi,Delhi,Robbery,FIR000163
2023-12-07,04:43:18,Cantonment Police Station,Lucknow,Uttar Pradesh,Assault,FIR000164
2022-11-26,02:58:51,Connaught Place Police Station,Jaipur,Rajasthan,Cyber Crime,FIR000165
2023-10-10,21:47:10,Park Street Police Station,Mumbai,Maharashtra,Murder,FIR000166
2022-01-17,14:32:07,Park Street Police Station,Chennai,Tamil Nadu,Robbery,FIR000167
2024-03-07,23:53:39,Sector 18 Police Station,Kolkata,West Bengal,Robbery,FIR000168
2020-11-02,09:14:19,MG Road Police Station,Kolkata,West Bengal,Kidnapping,FIR000169
2021-08-24,03:20:57,Bandra Police Station,Ahmedabad,Gujarat,Fraud,FIR000170
2021-03-26,09:56:25,MG Road Police Station,Hyderabad,Telangana,Theft,FIR000171
2021-12-31,23:07:39,Bandra Police Station,Ahmedabad,Gujarat,Murder,FIR000172
2023-08-22,18:30:40,MG Road Police Station,Chennai,Tamil Nadu,Robbery,FIR000173
2022-09-19,22:00:59,Bandra Police Station,Jaipur,Rajasthan,Robbery,FIR000174
2023-07-08,19:46:28,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Cyber Crime,FIR000175
2022-09-08,01:53:00,Lajpat Nagar Police Station,Hyderabad,Telangana,Fraud,FIR000176
2023-01-13,01:37:06,Nungambakkam Police Station,New Delhi,Delhi,Assault,FIR000177
2023-03-30,07:54:10,Park Street Police Station,Mumbai,Maharashtra,Murder,FIR000178
2024-08-15,23:10:46,Cantonment Police Station,Ahmedabad,Gujarat,Assault,FIR000179
2022-07-04,05:57:35,Connaught Place Police Station,Chennai,Tamil Nadu,Assault,FIR000180
2023-11-25,18:43:59,Park Street Police Station,Chennai,Tamil Nadu,Theft,FIR000181
2024-09-02,01:21:07,Connaught Place Police Station,Hyderabad,Telangana,Cyber Crime,FIR000182
2020-09-25,00:03:19,MG Road Police Station,Kolkata,West Bengal,Kidnapping,FIR000183
2022-12-21,03:31:47,Sector 18 Police Station,Patna,Bihar,Theft,FIR000184
2021-05-09,03:52:48,Park Street Police Station,New Delhi,Delhi,Fraud,FIR000185
2020-11-16,11:31:48,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR000186
2022-11-18,20:28:22,Cantonment Police Station,Kolkata,West Bengal,Kidnapping,FIR000187
2023-10-24,03:41:04,Park Street Police Station,Ahmedabad,Gujarat,Murder,FIR000188
2023-02-19,09:49:23,Connaught Place Police Station,Patna,Bihar,Theft,FIR000189
2021-06-28,21:43:48,Lajpat Nagar Police Station,Mumbai,Maharashtra,Cyber Crime,FIR000190
2024-07-28,10:56:16,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Murder,FIR000191
2021-08-09,12:18:05,Connaught Place Police Station,Jaipur,Rajasthan,Murder,FIR000192
2022-06-18,04:34:21,MG Road Police Station,Chennai,Tamil Nadu,Fraud,FIR000193
2022-04-10,08:09:10,Lajpat Nagar Police Station,Bengaluru,Karnataka,Murder,FIR000194
2021-06-03,14:40:34,Sector 18 Police Station,Ahmedabad,Gujarat,Murder,FIR000195
2023-01-31,11:00:30,Cantonment Police Station,Lucknow,Uttar Pradesh,Murder,FIR000196
2021-09-30,19:53:20,Bandra Police Station,Kolkata,West Bengal,Murder,FIR000197
2020-09-27,11:30:10,Nungambakkam Police Station,Hyderabad,Telangana,Theft,FIR000198
2024-05-17,09:48:27,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR000199
2022-07-26,07:26:22,Bandra Police Station,Chennai,Tamil Nadu,Theft,FIR000200
2023-07-14,01:46:11,Cantonment Police Station,Kolkata,West Bengal,Cyber Crime,FIR000201
2022-12-26,20:32:08,Park Street Police Station,Jaipur,Rajasthan,Robbery,FIR000202
2022-03-07,14:20:29,Bandra Police Station,New Delhi,Delhi,Murder,FIR000203
2023-06-25,03:09:02,Nungambakkam Police Station,Kolkata,West Bengal,Fraud,FIR000204
2021-04-21,11:11:47,Nungambakkam Police Station,Mumbai,Maharashtra,Cyber Crime,FIR000205
2022-01-30,15:21:41,Lajpat Nagar Police Station,Mumbai,Maharashtra,Robbery,FIR000206
2022-07-31,17:56:43,Cantonment Police Station,Ahmedabad,Gujarat,Murder,FIR000207
2022-02-27,15:43:30,Cantonment Police Station,Ahmedabad,Gujarat,Fraud,FIR000208
2020-10-25,13:19:33,Bandra Police Station,Hyderabad,Telangana,Kidnapping,FIR000209
2020-11-16,03:27:28,MG Road Police Station,Kolkata,West Bengal,Murder,FIR000210
2023-09-29,20:14:17,Connaught Place Police Station,Chennai,Tamil Nadu,Fraud,FIR000211
2024-04-15,12:53:34,Sector 18 Police Station,Kolkata,West Bengal,Theft,FIR000212
2021-10-26,04:30:52,Lajpat Nagar Police Station,New Delhi,Delhi,Robbery,FIR000213
2022-01-08,18:35:37,Sector 18 Police Station,Bengaluru,Karnataka,Kidnapping,FIR000214
2024-07-28,04:50:44,Lajpat Nagar Police Station,Bengaluru,Karnataka,Kidnapping,FIR000215
2022-02-05,10:02:51,Bandra Police Station,Bengaluru,Karnataka,Robbery,FIR000216
2020-10-24,18:32:12,Connaught Place Police Station,Patna,Bihar,Theft,FIR000217
2024-02-13,08:18:58,Bandra Police Station,Mumbai,Maharashtra,Theft,FIR000218
2023-10-26,10:14:44,Bandra Police Station,Lucknow,Uttar Pradesh,Robbery,FIR000219
2021-11-24,00:25:52,Connaught Place Police Station,Hyderabad,Telangana,Fraud,FIR000220
2021-10-08,10:14:54,Cantonment Police Station,Jaipur,Rajasthan,Kidnapping,FIR000221
2023-01-11,23:35:27,Connaught Place Police Station,Kolkata,West Bengal,Assault,FIR000222
2024-06-07,13:56:14,Sector 18 Police Station,Hyderabad,Telangana,Kidnapping,FIR000223
2022-07-27,10:26:44,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Fraud,FIR000224
2023-12-17,02:53:33,Sector 18 Police Station,Hyderabad,Telangana,Kidnapping,FIR000225
2021-05-21,04:36:20,Bandra Police Station,Patna,Bihar,Theft,FIR000226
2022-09-18,23:50:27,Park Street Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000227
2021-05-14,05:46:29,Nungambakkam Police Station,Patna,Bihar,Assault,FIR000228
2022-07-22,15:05:18,Sector 18 Police Station,Patna,Bihar,Murder,FIR000229
2021-09-09,20:29:14,MG Road Police Station,Chennai,Tamil Nadu,Robbery,FIR000230
2024-01-11,03:59:20,Sector 18 Police Station,Mumbai,Maharashtra,Fraud,FIR000231
2023-08-27,10:27:04,Cantonment Police Station,Lucknow,Uttar Pradesh,Murder,FIR000232
2021-07-07,03:23:07,Park Street Police Station,Chennai,Tamil Nadu,Kidnapping,FIR000233
2022-10-05,08:17:49,MG Road Police Station,Kolkata,West Bengal,Fraud,FIR000234
2024-04-28,20:01:01,Connaught Place Police Station,Mumbai,Maharashtra,Assault,FIR000235
2022-07-31,14:43:24,Connaught Place Police Station,Lucknow,Uttar Pradesh,Murder,FIR000236
2022-09-28,20:11:27,Bandra Police Station,Ahmedabad,Gujarat,Robbery,FIR000237
2024-08-07,03:55:37,Sector 18 Police Station,Lucknow,Uttar Pradesh,Murder,FIR000238
2024-05-19,07:46:53,Cantonment Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000239
2024-02-11,01:07:06,Connaught Place Police Station,Patna,Bihar,Kidnapping,FIR000240
2023-07-27,06:56:10,Connaught Place Police Station,Kolkata,West Bengal,Fraud,FIR000241
2022-02-05,16:32:20,Bandra Police Station,New Delhi,Delhi,Robbery,FIR000242
2022-11-16,05:12:02,Park Street Police Station,Lucknow,Uttar Pradesh,Assault,FIR000243
2023-12-30,14:27:24,MG Road Police Station,Mumbai,Maharashtra,Kidnapping,FIR000244
2022-10-20,23:07:01,MG Road Police Station,Jaipur,Rajasthan,Cyber Crime,FIR000245
2022-06-21,10:54:56,MG Road Police Station,New Delhi,Delhi,Assault,FIR000246
2024-07-01,15:03:33,Cantonment Police Station,New Delhi,Delhi,Assault,FIR000247
2024-07-09,20:22:15,Nungambakkam Police Station,Chennai,Tamil Nadu,Assault,FIR000248
2024-04-03,23:44:04,MG Road Police Station,Jaipur,Rajasthan,Assault,FIR000249
2022-08-24,15:12:03,Connaught Place Police Station,New Delhi,Delhi,Robbery,FIR000250
2024-01-18,12:02:46,Connaught Place Police Station,Bengaluru,Karnataka,Assault,FIR000251
2021-04-28,17:39:59,Nungambakkam Police Station,Ahmedabad,Gujarat,Kidnapping,FIR000252
2021-05-28,21:47:26,Park Street Police Station,Bengaluru,Karnataka,Cyber Crime,FIR000253
2023-04-11,08:56:45,Bandra Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000254
2022-09-15,06:33:50,Sector 18 Police Station,Ahmedabad,Gujarat,Assault,FIR000255
2024-06-13,02:28:10,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Murder,FIR000256
2022-07-03,20:46:59,Park Street Police Station,Ahmedabad,Gujarat,Kidnapping,FIR000257
2021-09-19,19:58:53,Bandra Police Station,Chennai,Tamil Nadu,Theft,FIR000258
2024-03-17,05:58:11,Sector 18 Police Station,Hyderabad,Telangana,Kidnapping,FIR000259
2023-04-25,04:19:22,Sector 18 Police Station,Jaipur,Rajasthan,Cyber Crime,FIR000260
2024-03-03,12:30:13,Sector 18 Police Station,Ahmedabad,Gujarat,Kidnapping,FIR000261
2021-05-10,04:02:58,Nungambakkam Police Station,Hyderabad,Telangana,Robbery,FIR000262
2023-11-22,02:42:14,Cantonment Police Station,Chennai,Tamil Nadu,Assault,FIR000263
2021-04-16,06:30:28,Sector 18 Police Station,Ahmedabad,Gujarat,Fraud,FIR000264
2021-05-24,00:30:23,Cantonment Police Station,New Delhi,Delhi,Cyber Crime,FIR000265
2020-10-15,16:52:10,Connaught Place Police Station,New Delhi,Delhi,Cyber Crime,FIR000266
2024-08-16,10:25:43,Cantonment Police Station,Mumbai,Maharashtra,Murder,FIR000267
2020-11-05,21:39:33,Cantonment Police Station,Mumbai,Maharashtra,Kidnapping,FIR000268
2021-08-30,15:33:42,Sector 18 Police Station,Kolkata,West Bengal,Robbery,FIR000269
2022-10-14,06:00:58,Park Street Police Station,Patna,Bihar,Cyber Crime,FIR000270
2023-01-22,11:53:53,Connaught Place Police Station,Lucknow,Uttar Pradesh,Fraud,FIR000271
2021-06-03,15:09:12,Bandra Police Station,Bengaluru,Karnataka,Theft,FIR000272
2022-09-21,09:24:51,Connaught Place Police Station,Hyderabad,Telangana,Assault,FIR000273
2024-02-29,13:43:44,Bandra Police Station,Mumbai,Maharashtra,Cyber Crime,FIR000274
2024-05-31,07:26:25,Nungambakkam Police Station,Jaipur,Rajasthan,Murder,FIR000275
2021-03-24,07:43:14,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR000276
2022-11-13,13:56:39,Park Street Police Station,Ahmedabad,Gujarat,Murder,FIR000277
2021-08-29,15:45:17,Lajpat Nagar Police Station,Ahmedabad,Gujarat,Assault,FIR000278
2024-01-22,05:51:26,Cantonment Police Station,New Delhi,Delhi,Robbery,FIR000279
2022-02-04,09:10:54,Cantonment Police Station,Ahmedabad,Gujarat,Robbery,FIR000280
2023-04-19,06:03:51,Park Street Police Station,Jaipur,Rajasthan,Assault,FIR000281
2024-05-10,20:35:22,Cantonment Police Station,Kolkata,West Bengal,Fraud,FIR000282
2023-09-10,03:07:39,Sector 18 Police Station,Mumbai,Maharashtra,Cyber Crime,FIR000283
2021-02-25,01:58:29,Bandra Police Station,Patna,Bihar,Fraud,FIR000284
2021-08-17,08:22:55,MG Road Police Station,Jaipur,Rajasthan,Murder,FIR000285
2021-01-31,13:57:40,MG Road Police Station,Patna,Bihar,Robbery,FIR000286
2021-10-18,14:55:59,Connaught Place Police Station,Ahmedabad,Gujarat,Murder,FIR000287
2024-09-02,22:23:53,Sector 18 Police Station,Patna,Bihar,Robbery,FIR000288
2021-05-27,00:12:59,Sector 18 Police Station,Chennai,Tamil Nadu,Robbery,FIR000289
2022-05-21,00:28:01,Cantonment Police Station,Lucknow,Uttar Pradesh,Fraud,FIR000290
2023-12-26,23:18:38,Lajpat Nagar Police Station,Hyderabad,Telangana,Theft,FIR000291
2024-02-11,13:50:27,Lajpat Nagar Police Station,Mumbai,Maharashtra,Assault,FIR000292
2023-08-15,11:29:15,Lajpat Nagar Police Station,Patna,Bihar,Fraud,FIR000293
